央视频道,#genre#
CCTV1,http://61.164.252.66:17959/live8/ysptv.php?id=cctv1
CCTV1,http://ysp.dsiptv.cn/iptv/ty/tytsred5g.php?ups=9bzsd9&id=cctv1
CCTV2,http://61.164.252.66:17959/live8/ysptv.php?id=cctv2
CCTV3,http://61.164.252.66:17959/live8/ysptv.php?id=cctv3
CCTV4,http://61.164.252.66:17959/live8/ysptv.php?id=cctv4
CCTV5,http://61.164.252.66:17959/live8/ysptv.php?id=cctv5
CCTV6,http://61.164.252.66:17959/live8/ysptv.php?id=cctv6
CCTV7,http://61.164.252.66:17959/live8/ysptv.php?id=cctv7
CCTV8,http://61.164.252.66:17959/live8/ysptv.php?id=cctv8
CCTV9,http://61.164.252.66:17959/live8/ysptv.php?id=cctv9
CCTV10,http://61.164.252.66:17959/live8/ysptv.php?id=cctv10
CCTV11,http://61.164.252.66:17959/live8/ysptv.php?id=cctv11
CCTV12,http://61.164.252.66:17959/live8/ysptv.php?id=cctv12
CCTV13,http://61.164.252.66:17959/live8/ysptv.php?id=cctv13
CCTV14,http://61.164.252.66:17959/live8/ysptv.php?id=cctv14
CCTV15,http://61.164.252.66:17959/live8/ysptv.php?id=cctv15
CCTV16,http://61.164.252.66:17959/live8/ysptv.php?id=cctv16
CCTV17,http://61.164.252.66:17959/live8/ysptv.php?id=cctv17
CCTV1,http://62.234.188.159/ysp.php?id=cctv1
CCTV2,http://62.234.188.159/ysp.php?id=CCTV2
CCTV3,http://62.234.188.159/ysp.php?id=CCTV3
CCTV4,http://62.234.188.159/ysp.php?id=CCTV4
CCTV5,http://62.234.188.159/ysp.php?id=CCTV5
CCTV6,http://62.234.188.159/ysp.php?id=CCTV6
CCTV7,http://62.234.188.159/ysp.php?id=CCTV7
CCTV8,http://62.234.188.159/ysp.php?id=CCTV8
CCTV9,http://62.234.188.159/ysp.php?id=CCTV9
CCTV10,http://62.234.188.159/ysp.php?id=CCTV10
CCTV11,http://62.234.188.159/ysp.php?id=CCTV11
CCTV12,http://62.234.188.159/ysp.php?id=CCTV12
CCTV13,http://62.234.188.159/ysp.php?id=CCTV13
CCTV14,http://62.234.188.159/ysp.php?id=CCTV14
CCTV15,http://62.234.188.159/ysp.php?id=CCTV15
CCTV16,http://62.234.188.159/ysp.php?id=CCTV16
CCTV17,http://62.234.188.159/ysp.php?id=CCTV17
CCTV1,http://36.110.54.118:866/hls/1/index.m3u8
CCTV2,http://36.110.54.118:866/hls/2/index.m3u8
